DATE,income,employment,expenditures,production,manufacturing
1/1/2020,0.592,0.11871,-1.22374,-1.18424,-1.37232
4/1/2020,-5.24168,-11.925,-9.6287,-13.13493,-7.22705
7/1/2020,3.8919,5.11537,10.26046,11.25074,11.12107
10/1/2020,2.10014,1.44062,1.37144,2.02893,1.06089
1/1/2021,-0.79896,0.7351,3.73941,0.64873,1.97825
4/1/2021,1.2735,1.08114,4.50737,1.398,-0.05733
7/1/2021,0.62446,1.39105,2.11064,0.93275,-0.08744
10/1/2021,0.67372,1.34003,2.29574,1.43447,0.41218
1/1/2022,-0.55908,1.13213,2.15987,0.91378,0.62014
4/1/2022,-0.37038,0.79374,2.29099,0.80631,-1.76321
7/1/2022,1.07997,0.84668,1.62965,-0.20232,1.28944
10/1/2022,0.66141,0.62262,1.25447,-0.76953,0.33494
